     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -10.64323    -1.14066    -0.00881    -0.00000    -0.00881     0.00000     0.00000     0.00000     0.00000     0.00000    -1.15828
   -10.44323    -1.14066    -0.00881    -0.00000    -0.00881     0.00000     0.00000     0.00000     0.00000     0.00000    -1.15828
   -10.24223    -1.14066    -0.00881    -0.00000    -0.00881     0.00000     0.00000     0.00000     0.00000     0.00000    -1.15828
   -10.04123    -1.14066    -0.00881    -0.00000    -0.00881     0.00000     0.00000     0.00000     0.00000     0.00000    -1.15828
    -9.84123    -1.14066    -0.00881    -0.00000    -0.00881     0.00000     0.00000     0.00000     0.00000     0.00000    -1.15828
    -9.64023    -1.14066    -0.00881    -0.00000    -0.00881     0.00000     0.00000     0.00000     0.00000     0.00000    -1.15828
    -9.44023    -1.14066    -0.00908    -0.00000    -0.00908     0.00000     0.00000     0.00000     0.00000     0.00000    -1.15883
    -9.23923    -1.14087    -0.01745    -0.00000    -0.01745     0.00000     0.00000     0.00000     0.00000     0.00000    -1.17578
    -9.03823    -1.14150    -0.03533    -0.00000    -0.03533     0.00000     0.00000     0.00000     0.00000     0.00000    -1.21217
    -8.83823    -1.14299    -0.06036    -0.00001    -0.06036     0.00000     0.00000     0.00000     0.00000     0.00000    -1.26373
    -8.63723    -1.14522    -0.08931    -0.00001    -0.08931     0.00000     0.00000     0.00000     0.00000     0.00000    -1.32385
    -8.43723    -1.14807    -0.11918    -0.00001    -0.11918     0.00000     0.00000     0.00000     0.00000     0.00000    -1.38643
    -8.23623    -1.15220    -0.15115    -0.00001    -0.15115     0.00000     0.00000     0.00000     0.00000     0.00000    -1.45450
    -8.03623    -1.15628    -0.17415    -0.00001    -0.17415     0.00000     0.00000     0.00000     0.00000     0.00000    -1.50459
    -7.83523    -1.15930    -0.18674    -0.00001    -0.18674     0.00000     0.00000     0.00000     0.00000     0.00000    -1.53279
    -7.63423    -1.16455    -0.20588    -0.00001    -0.20588     0.00000     0.00000     0.00000     0.00000     0.00000    -1.57632
    -7.43423    -1.16901    -0.22518    -0.00001    -0.22518     0.00000     0.00000     0.00000     0.00000     0.00000    -1.61938
    -7.23323    -1.17139    -0.23964    -0.00002    -0.23964     0.00000     0.00000     0.00000     0.00000     0.00000    -1.65069
    -7.03323    -1.17435    -0.25596    -0.00002    -0.25596     0.00000     0.00000     0.00000     0.00000     0.00000    -1.68629
    -6.83223    -1.17855    -0.27489    -0.00002    -0.27489     0.00000     0.00000     0.00000     0.00000     0.00000    -1.72836
    -6.63123    -1.18336    -0.29690    -0.00002    -0.29690     0.00000     0.00000     0.00000     0.00000     0.00000    -1.77718
    -6.43123    -1.18653    -0.31903    -0.00003    -0.31903     0.00000     0.00000     0.00000     0.00000     0.00000    -1.82463
    -6.23023    -1.18861    -0.33877    -0.00011    -0.33877     0.00000     0.00000     0.00000     0.00000     0.00000    -1.86626
    -6.03023    -1.19210    -0.36058    -0.00160    -0.36058     0.00000     0.00000     0.00000     0.00000     0.00000    -1.91487
    -5.82923    -1.19574    -0.38642    -0.00606    -0.38642     0.00000     0.00000     0.00000     0.00000     0.00000    -1.97465
    -5.62923    -1.19785    -0.40705    -0.01368    -0.40705     0.00000     0.00000     0.00000     0.00000     0.00000    -2.02563
    -5.42823    -1.20054    -0.43110    -0.02368    -0.43110     0.00000     0.00000     0.00000     0.00000     0.00000    -2.08642
    -5.22723    -1.20384    -0.46503    -0.03701    -0.46503     0.00000     0.00000     0.00000     0.00000     0.00000    -2.17091
    -5.02723    -1.20723    -0.49662    -0.05466    -0.49662     0.00000     0.00000     0.00000     0.00000     0.00000    -2.25514
    -4.82623    -1.20908    -0.52852    -0.07431    -0.52852     0.00000     0.00000     0.00000     0.00000     0.00000    -2.34043
    -4.62623    -1.21072    -0.57308    -0.09322    -0.57308     0.00000     0.00000     0.00000     0.00000     0.00000    -2.45010
    -4.42523    -1.21257    -0.61985    -0.11294    -0.61985     0.00000     0.00000     0.00000     0.00000     0.00000    -2.56521
    -4.22523    -1.21422    -0.66478    -0.13515    -0.66478     0.00000     0.00000     0.00000     0.00000     0.00000    -2.67894
    -4.02423    -1.21628    -0.70019    -0.15741    -0.70019     0.00000     0.00000     0.00000     0.00000     0.00000    -2.77407
    -3.82323    -1.21799    -0.72913    -0.17880    -0.72913     0.00000     0.00000     0.00000     0.00000     0.00000    -2.85506
    -3.62323    -1.21883    -0.76172    -0.20127    -0.76172     0.00000     0.00000     0.00000     0.00000     0.00000    -2.94354
    -3.42223    -1.21967    -0.78707    -0.22615    -0.78707     0.00000     0.00000     0.00000     0.00000     0.00000    -3.01997
    -3.22223    -1.22074    -0.80678    -0.25244    -0.80678     0.00000     0.00000     0.00000     0.00000     0.00000    -3.08674
    -3.02123    -1.22128    -0.82789    -0.27817    -0.82789     0.00000     0.00000     0.00000     0.00000     0.00000    -3.15523
    -2.82023    -1.22189    -0.85377    -0.30652    -0.85377     0.00000     0.00000     0.00000     0.00000     0.00000    -3.23596
    -2.62023    -1.22274    -0.87817    -0.33647    -0.87817     0.00000     0.00000     0.00000     0.00000     0.00000    -3.31555
    -2.41923    -1.22324    -0.89408    -0.36535    -0.89408     0.00000     0.00000     0.00000     0.00000     0.00000    -3.37675
    -2.21923    -1.22338    -0.91263    -0.40002    -0.91263     0.00000     0.00000     0.00000     0.00000     0.00000    -3.44865
    -2.01823    -1.22357    -0.93236    -0.43811    -0.93236     0.00000     0.00000     0.00000     0.00000     0.00000    -3.52639
    -1.81823    -1.22368    -0.94685    -0.48132    -0.94685     0.00000     0.00000     0.00000     0.00000     0.00000    -3.59869
    -1.61723    -1.22372    -0.95482    -0.53378    -0.95482     0.00000     0.00000     0.00000     0.00000     0.00000    -3.66714
    -1.41623    -1.22373    -0.95518    -0.59116    -0.95518     0.00000     0.00000     0.00000     0.00000     0.00000    -3.72526
    -1.21623    -1.22374    -0.95520    -0.66014    -0.95520     0.00000     0.00000     0.00000     0.00000     0.00000    -3.79427
    -1.01523    -1.22374    -0.95521    -0.72976    -0.95521     0.00000     0.00000     0.00000     0.00000     0.00000    -3.86392
    -0.81523    -1.22374    -0.95522    -0.78236    -0.95522     0.00000     0.00000     0.00000     0.00000     0.00000    -3.91654
