      #Energy        TDOS-UP        TDOS-DOWN
      15.43177      15.83434     -15.83465
      15.63277      15.97298     -15.97330
      15.83377      16.12691     -16.12734
      16.03377      16.31211     -16.31260
      16.23477      16.50975     -16.51017
      16.43477      16.67858     -16.67897
      16.63577      16.83811     -16.83851
      16.83577      17.00752     -17.00791
      17.03677      17.15579     -17.15617
      17.23777      17.30297     -17.30338
      17.43777      17.46485     -17.46532
      17.63877      17.64408     -17.64459
      17.83877      17.83248     -17.83294
      18.03977      18.00927     -18.00969
      18.24077      18.17666     -18.17711
      18.44077      18.34496     -18.34540
      18.64177      18.52677     -18.52725
      18.84177      18.74357     -18.74413
      19.04277      18.99540     -18.99596
      19.24277      19.24071     -19.24127
      19.44377      19.44517     -19.44571
      19.64477      19.62510     -19.62560
      19.84477      19.79918     -19.79969
      20.04577      19.98233     -19.98284
      20.24577      20.15146     -20.15197
      20.44677      20.30158     -20.30211
      20.64777      20.47161     -20.47211
      20.84777      20.63760     -20.63811
      21.04877      20.80404     -20.80455
      21.24877      20.95433     -20.95484
      21.44977      21.06833     -21.06882
      21.64977      21.17148     -21.17195
      21.85077      21.27016     -21.27062
      22.05177      21.36416     -21.36458
      22.25177      21.46654     -21.46696
      22.45277      21.57935     -21.57979
      22.65277      21.67600     -21.67640
      22.85377      21.77102     -21.77140
      23.05377      21.87997     -21.88035
      23.25477      21.98383     -21.98419
      23.45577      22.09016     -22.09059
      23.65577      22.21996     -22.22043
      23.85677      22.35329     -22.35373
      24.05677      22.47147     -22.47191
      24.25777      22.59715     -22.59766
      24.45877      22.74327     -22.74380
      24.65877      22.91615     -22.91670
      24.85977      23.08716     -23.08770
      25.05977      23.24091     -23.24145
      25.26077      23.41893     -23.41955
      25.46077      23.59808     -23.59865
      25.66177      23.72975     -23.73027
      25.86277      23.86078     -23.86141
      26.06277      24.04452     -24.04522
      26.26377      24.25633     -24.25713
      26.46377      24.47707     -24.47797
      26.66477      24.73121     -24.73221
      26.86577      25.04512     -25.04632
      27.06577      25.39272     -25.39392
      27.26677      25.70001     -25.70111
      27.46677      25.95114     -25.95224
      27.66777      26.20919     -26.21039
      27.86777      26.49381     -26.49511
      28.06877      26.78125     -26.78254
      28.26977      27.08282     -27.08412
      28.46977      27.34628     -27.34748
      28.67077      27.56281     -27.56390
      28.87077      27.79067     -27.79176
      29.07177      28.01131     -28.01240
      29.27177      28.21256     -28.21362
      29.47277      28.38830     -28.38934
      29.67377      28.55946     -28.56052
      29.87377      28.73636     -28.73739
      30.07477      28.90354     -28.90455
      30.27477      29.06716     -29.06812
      30.47577      29.21995     -29.22087
      30.67677      29.36024     -29.36114
      30.87677      29.49608     -29.49695
      31.07777      29.62981     -29.63069
      31.27777      29.75998     -29.76084
      31.47877      29.88067     -29.88150
      31.67877      29.99238     -29.99322
      31.87977      30.11596     -30.11684
      32.08077      30.26019     -30.26112
      32.28077      30.41564     -30.41663
      32.48177      30.57443     -30.57545
      32.68177      30.72948     -30.73046
      32.88277      30.86971     -30.87068
      33.08377      31.00253     -31.00352
      33.28377      31.14440     -31.14538
      33.48477      31.28266     -31.28359
      33.68477      31.40793     -31.40887
      33.88577      31.52212     -31.52304
      34.08577      31.62033     -31.62117
      34.28677      31.72642     -31.72732
      34.48777      31.83927     -31.84010
      34.68777      31.90717     -31.90784
      34.88877      31.93070     -31.93135
      35.08877      31.94157     -31.94231
      35.28977      31.94974     -31.95048
      35.48977      31.95563     -31.95627
      35.69077      31.96067     -31.96131
      35.89177      31.96629     -31.96692
      36.09177      31.97212     -31.97276
      36.29277      31.98163     -31.98228
      36.49277      31.99187     -31.99252
      36.69377      31.99762     -31.99826
      36.89477      31.99971     -32.00034
      37.09477      31.99979     -32.00041
      37.29577      31.99979     -32.00041
      37.49577      31.99979     -32.00041
      37.69677      31.99979     -32.00041
      37.89677      31.99979     -32.00041
      38.09777      31.99979     -32.00041
      38.29877      31.99979     -32.00041
      38.49877      31.99979     -32.00041
      38.69977      31.99979     -32.00041
      38.89977      31.99979     -32.00041
      39.10077      31.99979     -32.00041
      39.30177      31.99979     -32.00041
