     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
    -9.84123     1.14061     0.00881     0.00000     0.00881     0.00000     0.00000     0.00000     0.00000     0.00000     1.15824
    -9.64023     1.14061     0.00881     0.00000     0.00881     0.00000     0.00000     0.00000     0.00000     0.00000     1.15824
    -9.44023     1.14062     0.00908     0.00000     0.00908     0.00000     0.00000     0.00000     0.00000     0.00000     1.15878
    -9.23923     1.14083     0.01745     0.00000     0.01745     0.00000     0.00000     0.00000     0.00000     0.00000     1.17573
    -9.03823     1.14146     0.03533     0.00000     0.03533     0.00000     0.00000     0.00000     0.00000     0.00000     1.21212
    -8.83823     1.14295     0.06036     0.00001     0.06036     0.00000     0.00000     0.00000     0.00000     0.00000     1.26367
    -8.63723     1.14517     0.08931     0.00001     0.08931     0.00000     0.00000     0.00000     0.00000     0.00000     1.32380
    -8.43723     1.14803     0.11918     0.00001     0.11918     0.00000     0.00000     0.00000     0.00000     0.00000     1.38639
    -8.23623     1.15216     0.15115     0.00001     0.15115     0.00000     0.00000     0.00000     0.00000     0.00000     1.45446
    -8.03623     1.15624     0.17415     0.00001     0.17415     0.00000     0.00000     0.00000     0.00000     0.00000     1.50455
    -7.83523     1.15925     0.18674     0.00001     0.18674     0.00000     0.00000     0.00000     0.00000     0.00000     1.53275
    -7.63423     1.16450     0.20589     0.00001     0.20589     0.00000     0.00000     0.00000     0.00000     0.00000     1.57629
    -7.43423     1.16896     0.22518     0.00001     0.22518     0.00000     0.00000     0.00000     0.00000     0.00000     1.61934
    -7.23323     1.17135     0.23964     0.00002     0.23964     0.00000     0.00000     0.00000     0.00000     0.00000     1.65064
    -7.03323     1.17430     0.25596     0.00002     0.25596     0.00000     0.00000     0.00000     0.00000     0.00000     1.68625
    -6.83223     1.17850     0.27490     0.00002     0.27490     0.00000     0.00000     0.00000     0.00000     0.00000     1.72832
    -6.63123     1.18331     0.29690     0.00002     0.29690     0.00000     0.00000     0.00000     0.00000     0.00000     1.77714
    -6.43123     1.18648     0.31904     0.00003     0.31904     0.00000     0.00000     0.00000     0.00000     0.00000     1.82458
    -6.23023     1.18856     0.33878     0.00011     0.33878     0.00000     0.00000     0.00000     0.00000     0.00000     1.86622
    -6.03023     1.19205     0.36059     0.00160     0.36059     0.00000     0.00000     0.00000     0.00000     0.00000     1.91482
    -5.82923     1.19569     0.38643     0.00605     0.38643     0.00000     0.00000     0.00000     0.00000     0.00000     1.97460
    -5.62923     1.19780     0.40706     0.01367     0.40706     0.00000     0.00000     0.00000     0.00000     0.00000     2.02558
    -5.42823     1.20049     0.43111     0.02367     0.43111     0.00000     0.00000     0.00000     0.00000     0.00000     2.08639
    -5.22723     1.20379     0.46505     0.03699     0.46505     0.00000     0.00000     0.00000     0.00000     0.00000     2.17088
    -5.02723     1.20718     0.49664     0.05464     0.49664     0.00000     0.00000     0.00000     0.00000     0.00000     2.25510
    -4.82623     1.20902     0.52854     0.07429     0.52854     0.00000     0.00000     0.00000     0.00000     0.00000     2.34040
    -4.62623     1.21067     0.57310     0.09321     0.57310     0.00000     0.00000     0.00000     0.00000     0.00000     2.45008
    -4.42523     1.21252     0.61987     0.11293     0.61987     0.00000     0.00000     0.00000     0.00000     0.00000     2.56519
    -4.22523     1.21417     0.66480     0.13514     0.66480     0.00000     0.00000     0.00000     0.00000     0.00000     2.67892
    -4.02423     1.21623     0.70021     0.15740     0.70021     0.00000     0.00000     0.00000     0.00000     0.00000     2.77406
    -3.82323     1.21794     0.72916     0.17880     0.72916     0.00000     0.00000     0.00000     0.00000     0.00000     2.85505
    -3.62323     1.21878     0.76174     0.20127     0.76174     0.00000     0.00000     0.00000     0.00000     0.00000     2.94353
    -3.42223     1.21962     0.78709     0.22615     0.78709     0.00000     0.00000     0.00000     0.00000     0.00000     3.01995
    -3.22223     1.22069     0.80680     0.25244     0.80680     0.00000     0.00000     0.00000     0.00000     0.00000     3.08672
    -3.02123     1.22122     0.82791     0.27817     0.82791     0.00000     0.00000     0.00000     0.00000     0.00000     3.15522
    -2.82023     1.22184     0.85380     0.30652     0.85380     0.00000     0.00000     0.00000     0.00000     0.00000     3.23596
    -2.62023     1.22269     0.87818     0.33648     0.87818     0.00000     0.00000     0.00000     0.00000     0.00000     3.31553
    -2.41923     1.22319     0.89409     0.36536     0.89409     0.00000     0.00000     0.00000     0.00000     0.00000     3.37673
    -2.21923     1.22333     0.91264     0.40003     0.91264     0.00000     0.00000     0.00000     0.00000     0.00000     3.44864
    -2.01823     1.22352     0.93237     0.43813     0.93237     0.00000     0.00000     0.00000     0.00000     0.00000     3.52639
    -1.81823     1.22363     0.94686     0.48135     0.94686     0.00000     0.00000     0.00000     0.00000     0.00000     3.59869
    -1.61723     1.22367     0.95482     0.53380     0.95482     0.00000     0.00000     0.00000     0.00000     0.00000     3.66712
    -1.41623     1.22368     0.95519     0.59121     0.95519     0.00000     0.00000     0.00000     0.00000     0.00000     3.72526
    -1.21623     1.22368     0.95520     0.66023     0.95520     0.00000     0.00000     0.00000     0.00000     0.00000     3.79431
    -1.01523     1.22369     0.95521     0.72989     0.95521     0.00000     0.00000     0.00000     0.00000     0.00000     3.86400
    -0.81523     1.22369     0.95522     0.78250     0.95522     0.00000     0.00000     0.00000     0.00000     0.00000     3.91664
    -0.61423     1.22369     0.95523     0.82458     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     3.95873
    -0.41323     1.22369     0.95523     0.85547     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     3.98963
    -0.21323     1.22369     0.95523     0.86651     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00067
    -0.01223     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     0.18777     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     0.38877     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     0.58877     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     0.78977     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     0.99077     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     1.19077     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     1.39177     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     1.59177     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     1.79277     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     1.99377     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     2.19377     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     2.39477     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     2.59477     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     2.79577     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     2.99577     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     3.19677     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     3.39777     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     3.59777     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     3.79877     1.22369     0.95523     0.86675     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00091
     3.99877     1.22370     0.95523     0.86702     0.95523     0.00000     0.00000     0.00000     0.00000     0.00000     4.00119
     4.19977     1.22392     0.95524     0.86907     0.95524     0.00000     0.00000     0.00000     0.00000     0.00000     4.00347
     4.39977     1.22449     0.95526     0.87470     0.95526     0.00000     0.00000     0.00000     0.00000     0.00000     4.00972
     4.60077     1.22547     0.95532     0.88511     0.95532     0.00000     0.00000     0.00000     0.00000     0.00000     4.02122
     4.80177     1.22674     0.95542     0.89862     0.95542     0.00000     0.00000     0.00000     0.00000     0.00000     4.03620
     5.00177     1.22800     0.95554     0.91004     0.95554     0.00000     0.00000     0.00000     0.00000     0.00000     4.04913
     5.20277     1.22949     0.95571     0.92152     0.95571     0.00000     0.00000     0.00000     0.00000     0.00000     4.06243
     5.40277     1.23131     0.95595     0.93344     0.95595     0.00000     0.00000     0.00000     0.00000     0.00000     4.07666
     5.60377     1.23315     0.95622     0.94584     0.95622     0.00000     0.00000     0.00000     0.00000     0.00000     4.09143
     5.80477     1.23511     0.95652     0.96087     0.95652     0.00000     0.00000     0.00000     0.00000     0.00000     4.10903
     6.00477     1.23710     0.95685     0.97560     0.95685     0.00000     0.00000     0.00000     0.00000     0.00000     4.12640
     6.20577     1.23931     0.95726     0.98848     0.95726     0.00000     0.00000     0.00000     0.00000     0.00000     4.14231
     6.40577     1.24199     0.95781     1.00318     0.95781     0.00000     0.00000     0.00000     0.00000     0.00000     4.16079
     6.60677     1.24478     0.95838     1.01886     0.95838     0.00000     0.00000     0.00000     0.00000     0.00000     4.18040
     6.80677     1.24805     0.95911     1.04143     0.95911     0.00000     0.00000     0.00000     0.00000     0.00000     4.20769
     7.00777     1.25132     0.95985     1.06770     0.95985     0.00000     0.00000     0.00000     0.00000     0.00000     4.23873
     7.20877     1.25362     0.96034     1.08682     0.96034     0.00000     0.00000     0.00000     0.00000     0.00000     4.26111
     7.40877     1.25543     0.96072     1.10481     0.96072     0.00000     0.00000     0.00000     0.00000     0.00000     4.28168
     7.60977     1.25740     0.96120     1.12243     0.96120     0.00000     0.00000     0.00000     0.00000     0.00000     4.30223
     7.80977     1.25936     0.96167     1.13925     0.96167     0.00000     0.00000     0.00000     0.00000     0.00000     4.32195
     8.01077     1.26127     0.96217     1.15616     0.96217     0.00000     0.00000     0.00000     0.00000     0.00000     4.34177
     8.21177     1.26337     0.96280     1.17108     0.96280     0.00000     0.00000     0.00000     0.00000     0.00000     4.36004
     8.41177     1.26560     0.96346     1.17936     0.96346     0.00000     0.00000     0.00000     0.00000     0.00000     4.37189
     8.61277     1.26794     0.96411     1.18318     0.96411     0.00000     0.00000     0.00000     0.00000     0.00000     4.37934
     8.81277     1.27173     0.96520     1.18794     0.96520     0.00000     0.00000     0.00000     0.00000     0.00000     4.39006
     9.01377     1.27796     0.96683     1.19254     0.96683     0.00000     0.00000     0.00000     0.00000     0.00000     4.40417
     9.21377     1.28546     0.96845     1.19712     0.96845     0.00000     0.00000     0.00000     0.00000     0.00000     4.41947
     9.41477     1.29514     0.97009     1.20186     0.97009     0.00000     0.00000     0.00000     0.00000     0.00000     4.43718
     9.61577     1.30837     0.97225     1.20646     0.97225     0.00000     0.00000     0.00000     0.00000     0.00000     4.45933
     9.81577     1.32085     0.97450     1.21165     0.97450     0.00000     0.00000     0.00000     0.00000     0.00000     4.48149
    10.01677     1.33164     0.97682     1.21734     0.97682     0.00000     0.00000     0.00000     0.00000     0.00000     4.50262
    10.21677     1.34195     0.97926     1.22543     0.97926     0.00000     0.00000     0.00000     0.00000     0.00000     4.52590
    10.41777     1.35194     0.98212     1.23425     0.98212     0.00000     0.00000     0.00000     0.00000     0.00000     4.55043
    10.61777     1.36757     0.98666     1.24093     0.98666     0.00000     0.00000     0.00000     0.00000     0.00000     4.58182
    10.81877     1.38774     0.99286     1.24847     0.99286     0.00000     0.00000     0.00000     0.00000     0.00000     4.62193
    11.01977     1.40400     1.00061     1.25565     1.00061     0.00000     0.00000     0.00000     0.00000     0.00000     4.66087
    11.21977     1.41481     1.00962     1.26237     1.00962     0.00000     0.00000     0.00000     0.00000     0.00000     4.69642
    11.42077     1.42378     1.01914     1.27526     1.01914     0.00000     0.00000     0.00000     0.00000     0.00000     4.73732
    11.62077     1.43458     1.03025     1.28781     1.03025     0.00000     0.00000     0.00000     0.00000     0.00000     4.78290
    11.82177     1.44313     1.03958     1.29597     1.03958     0.00000     0.00000     0.00000     0.00000     0.00000     4.81824
    12.02277     1.44673     1.04671     1.30373     1.04671     0.00000     0.00000     0.00000     0.00000     0.00000     4.84389
    12.22277     1.45103     1.05710     1.31010     1.05710     0.00000     0.00000     0.00000     0.00000     0.00000     4.87533
    12.42377     1.45582     1.06803     1.31529     1.06803     0.00000     0.00000     0.00000     0.00000     0.00000     4.90718
    12.62377     1.45904     1.07702     1.31962     1.07702     0.00000     0.00000     0.00000     0.00000     0.00000     4.93269
    12.82477     1.46194     1.08849     1.32347     1.08849     0.00000     0.00000     0.00000     0.00000     0.00000     4.96238
    13.02477     1.46570     1.10286     1.32629     1.10286     0.00000     0.00000     0.00000     0.00000     0.00000     4.99772
    13.22577     1.46919     1.11271     1.32792     1.11271     0.00000     0.00000     0.00000     0.00000     0.00000     5.02253
    13.42677     1.47202     1.11731     1.32898     1.11731     0.00000     0.00000     0.00000     0.00000     0.00000     5.03562
    13.62677     1.47686     1.12212     1.33044     1.12212     0.00000     0.00000     0.00000     0.00000     0.00000     5.05155
    13.82777     1.48494     1.12770     1.33335     1.12770     0.00000     0.00000     0.00000     0.00000     0.00000     5.07370
    14.02777     1.49350     1.13333     1.33697     1.13333     0.00000     0.00000     0.00000     0.00000     0.00000     5.09713
    14.22877     1.50324     1.14135     1.33928     1.14135     0.00000     0.00000     0.00000     0.00000     0.00000     5.12521
    14.42977     1.51447     1.15257     1.34013     1.15257     0.00000     0.00000     0.00000     0.00000     0.00000     5.15974
    14.62977     1.52406     1.16400     1.34064     1.16400     0.00000     0.00000     0.00000     0.00000     0.00000     5.19270
    14.83077     1.53201     1.17312     1.34124     1.17312     0.00000     0.00000     0.00000     0.00000     0.00000     5.21949
    15.03077     1.53817     1.18030     1.34201     1.18030     0.00000     0.00000     0.00000     0.00000     0.00000     5.24078
    15.23177     1.54321     1.18751     1.34319     1.18751     0.00000     0.00000     0.00000     0.00000     0.00000     5.26142
    15.43177     1.54892     1.19534     1.34484     1.19534     0.00000     0.00000     0.00000     0.00000     0.00000     5.28443
    15.63277     1.55475     1.20324     1.34742     1.20324     0.00000     0.00000     0.00000     0.00000     0.00000     5.30864
    15.83377     1.55909     1.21099     1.35149     1.21099     0.00000     0.00000     0.00000     0.00000     0.00000     5.33255
    16.03377     1.56277     1.21936     1.35570     1.21936     0.00000     0.00000     0.00000     0.00000     0.00000     5.35720
    16.23477     1.56647     1.22836     1.35959     1.22836     0.00000     0.00000     0.00000     0.00000     0.00000     5.38278
    16.43477     1.56978     1.23716     1.36266     1.23716     0.00000     0.00000     0.00000     0.00000     0.00000     5.40677
    16.63577     1.57258     1.24637     1.36579     1.24637     0.00000     0.00000     0.00000     0.00000     0.00000     5.43110
    16.83577     1.57485     1.25637     1.36928     1.25637     0.00000     0.00000     0.00000     0.00000     0.00000     5.45687
    17.03677     1.57709     1.26543     1.37198     1.26543     0.00000     0.00000     0.00000     0.00000     0.00000     5.47992
    17.23777     1.57949     1.27450     1.37550     1.27450     0.00000     0.00000     0.00000     0.00000     0.00000     5.50400
    17.43777     1.58215     1.28578     1.37970     1.28578     0.00000     0.00000     0.00000     0.00000     0.00000     5.53342
    17.63877     1.58504     1.29893     1.38511     1.29893     0.00000     0.00000     0.00000     0.00000     0.00000     5.56801
    17.83877     1.58918     1.31172     1.39135     1.31172     0.00000     0.00000     0.00000     0.00000     0.00000     5.60397
    18.03977     1.59455     1.32307     1.39606     1.32307     0.00000     0.00000     0.00000     0.00000     0.00000     5.63676
    18.24077     1.59948     1.33312     1.39971     1.33312     0.00000     0.00000     0.00000     0.00000     0.00000     5.66543
    18.44077     1.60352     1.34289     1.40275     1.34289     0.00000     0.00000     0.00000     0.00000     0.00000     5.69204
    18.64177     1.60678     1.35407     1.40562     1.35407     0.00000     0.00000     0.00000     0.00000     0.00000     5.72056
    18.84177     1.61029     1.36735     1.40928     1.36735     0.00000     0.00000     0.00000     0.00000     0.00000     5.75428
    19.04277     1.61467     1.38298     1.41428     1.38298     0.00000     0.00000     0.00000     0.00000     0.00000     5.79491
    19.24277     1.61871     1.39933     1.41984     1.39933     0.00000     0.00000     0.00000     0.00000     0.00000     5.83720
    19.44377     1.62159     1.41352     1.42473     1.41352     0.00000     0.00000     0.00000     0.00000     0.00000     5.87336
    19.64477     1.62392     1.42577     1.42883     1.42577     0.00000     0.00000     0.00000     0.00000     0.00000     5.90430
    19.84477     1.62612     1.43781     1.43286     1.43781     0.00000     0.00000     0.00000     0.00000     0.00000     5.93460
