      #Energy        TDOS-UP        TDOS-DOWN
      15.83377       0.85070      -0.85150
      16.03377       0.99600      -0.99570
      16.23477       0.97460      -0.97430
      16.43477       0.70890      -0.70880
      16.63577       0.88170      -0.88200
      16.83577       0.80750      -0.80710
      17.03677       0.67090      -0.67120
      17.23777       0.79670      -0.79660
      17.43777       0.81740      -0.81810
      17.63877       0.96970      -0.96950
      17.83877       0.90880      -0.90850
      18.03977       0.85400      -0.85390
      18.24077       0.81510      -0.81540
      18.44077       0.86300      -0.86270
      18.64177       0.94980      -0.95050
      18.84177       1.21200      -1.21200
      19.04277       1.29900      -1.29900
      19.24277       1.14700      -1.14700
      19.44377       0.89170      -0.89150
      19.64477       0.90230      -0.90220
      19.84477       0.83350      -0.83370
      20.04577       0.99270      -0.99250
      20.24577       0.69370      -0.69390
      20.44677       0.80320      -0.80310
      20.64777       0.89210      -0.89200
      20.84777       0.76300      -0.76320
      21.04877       0.89660      -0.89640
      21.24877       0.60200      -0.60210
      21.44977       0.53470      -0.53440
      21.64977       0.49380      -0.49390
      21.85077       0.49010      -0.49000
      22.05177       0.44720      -0.44680
      22.25177       0.57360      -0.57410
      22.45277       0.55130      -0.55090
      22.65277       0.41240      -0.41240
      22.85377       0.53500      -0.53490
      23.05377       0.55140      -0.55140
      23.25477       0.48410      -0.48400
      23.45577       0.57620      -0.57690
      23.65577       0.71800      -0.71780
      23.85677       0.61150      -0.61130
      24.05677       0.56680      -0.56710
      24.25777       0.68640      -0.68670
      24.45877       0.77060      -0.77050
      24.65877       0.95320      -0.95350
      24.85977       0.75190      -0.75160
      25.05977       0.78120      -0.78140
      25.26077       0.99380      -0.99440
      25.46077       0.79250      -0.79150
      25.66177       0.52040      -0.52090
      25.86277       0.78610      -0.78670
      26.06277       1.04600      -1.04600
      26.26377       1.06600      -1.06700
      26.46377       1.13500      -1.13500
      26.66477       1.39900      -1.40000
      26.86577       1.73100      -1.73200
      27.06577       1.73500      -1.73400
      27.26677       1.32900      -1.32900
      27.46677       1.17500      -1.17500
      27.66777       1.39800      -1.39900
      27.86777       1.44000      -1.44000
      28.06877       1.42600      -1.42600
      28.26977       1.58100      -1.58100
      28.46977       1.04600      -1.04500
      28.67077       1.11300      -1.11300
      28.87077       1.15900      -1.15900
      29.07177       1.04100      -1.04100
      29.27177       0.96570      -0.96530
      29.47277       0.78660      -0.78690
      29.67377       0.92010      -0.91990
      29.87377       0.84370      -0.84370
      30.07477       0.82330      -0.82300
      30.27477       0.80820      -0.80800
      30.47577       0.71520      -0.71510
      30.67677       0.68370      -0.68350
      30.87677       0.67070      -0.67070
      31.07777       0.66280      -0.66280
      31.27777       0.63510      -0.63490
      31.47877       0.56830      -0.56830
      31.67877       0.54560      -0.54560
      31.87977       0.68660      -0.68700
      32.08077       0.75150      -0.75170
      32.28077       0.79850      -0.79890
      32.48177       0.78480      -0.78470
      32.68177       0.76120      -0.76090
      32.88277       0.63710      -0.63720
      33.08377       0.68720      -0.68740
      33.28377       0.72740      -0.72710
      33.48477       0.65120      -0.65100
      33.68477       0.59790      -0.59810
      33.88577       0.54070      -0.54030
      34.08577       0.43850      -0.43820
      34.28677       0.61940      -0.62020
      34.48777       0.50580      -0.50430
      34.68777       0.17120      -0.17120
      34.88877       0.06343      -0.06321
      35.08877       0.04503      -0.04607
      35.28977       0.03642      -0.03538
      35.48977       0.02226      -0.02232
      35.69077       0.02802      -0.02794
      35.89177       0.02796      -0.02803
      36.09177       0.03018      -0.03025
      36.29277       0.06468      -0.06463
      36.49277       0.03741      -0.03743
      36.69377       0.01998      -0.01988
      36.89477       0.00082      -0.00078
      37.09477       0.00000      -0.00000
      37.29577       0.00000      -0.00000
      37.49577       0.00000       0.00000
      37.69677       0.00000       0.00000
      37.89677       0.00000       0.00000
      38.09777       0.00000       0.00000
      38.29877       0.00000       0.00000
      38.49877       0.00000       0.00000
      38.69977       0.00000       0.00000
      38.89977       0.00000       0.00000
      39.10077       0.00000       0.00000
      39.30177       0.00000       0.00000
